iter	Passed	Remaining
0	45	45253
1	79	39816
2	108	36207
3	134	33460
4	160	32009
5	186	30888
6	213	30242
7	240	29859
8	267	29486
9	292	28959
10	315	28331
11	337	27812
12	360	27366
13	382	26971
14	407	26789
15	431	26563
16	454	26292
17	478	26126
18	502	25958
19	528	25872
20	549	25633
21	573	25502
22	596	25334
23	621	25291
24	644	25152
25	667	25013
26	692	24955
27	716	24869
28	740	24793
29	762	24645
30	786	24599
31	810	24519
32	833	24434
33	856	24336
34	878	24222
35	900	24112
36	925	24098
37	947	23995
38	968	23875
39	992	23808
40	1014	23735
41	1040	23726
42	1061	23634
43	1084	23554
44	1106	23489
45	1127	23392
46	1150	23328
47	1173	23270
48	1197	23239
49	1222	23234
50	1246	23186
51	1269	23139
52	1292	23085
53	1315	23053
54	1341	23041
55	1363	22986
56	1385	22916
57	1407	22854
58	1429	22805
59	1454	22779
60	1475	22710
61	1497	22655
62	1524	22667
63	1547	22636
64	1570	22584
65	1591	22520
66	1612	22457
67	1638	22459
68	1661	22418
69	1684	22375
70	1706	22334
71	1729	22285
72	1750	22229
73	1774	22203
74	1796	22158
75	1819	22124
76	1843	22099
77	1867	22069
78	1890	22035
79	1911	21981
80	1932	21929
81	1954	21885
82	1977	21845
83	2002	21832
84	2023	21784
85	2046	21751
86	2070	21727
87	2091	21679
88	2112	21628
89	2136	21602
90	2159	21574
91	2182	21535
92	2207	21524
93	2230	21502
94	2252	21462
95	2274	21421
96	2297	21388
97	2319	21351
98	2340	21305
99	2362	21263
100	2406	21423
101	2436	21450
102	2459	21421
103	2484	21407
104	2508	21381
105	2530	21341
106	2552	21301
107	2573	21253
108	2596	21224
109	2618	21184
110	2640	21144
111	2661	21098
112	2683	21062
113	2707	21039
114	2730	21010
115	2752	20976
116	2773	20930
117	2795	20892
118	2819	20870
119	2851	20913
120	2881	20929
121	2908	20931
122	2931	20902
123	2954	20870
124	2976	20833
125	2998	20797
126	3019	20759
127	3041	20721
128	3064	20690
129	3084	20644
130	3106	20604
131	3129	20577
132	3151	20540
133	3172	20502
134	3193	20462
135	3217	20438
136	3242	20427
137	3264	20394
138	3286	20356
139	3307	20319
140	3330	20291
141	3352	20258
142	3374	20221
143	3396	20190
144	3417	20150
145	3441	20132
146	3464	20103
147	3486	20069
148	3507	20034
149	3531	20009
150	3553	19979
151	3574	19944
152	3596	19909
153	3617	19870
154	3640	19847
155	3665	19830
156	3687	19799
157	3708	19764
158	3731	19735
159	3753	19707
160	3775	19675
161	3797	19645
162	3822	19627
163	3863	19693
164	3886	19669
165	3911	19650
166	3931	19611
167	3952	19576
168	3973	19538
169	4000	19533
170	4021	19495
171	4044	19472
172	4067	19442
173	4091	19423
174	4115	19400
175	4138	19376
176	4163	19357
177	4187	19339
178	4209	19308
179	4232	19282
180	4257	19262
181	4281	19241
182	4304	19219
183	4328	19196
184	4351	19171
185	4374	19145
186	4396	19115
187	4419	19090
188	4445	19076
189	4467	19044
190	4488	19013
191	4513	18992
192	4534	18959
193	4555	18926
194	4578	18900
195	4599	18868
196	4627	18862
197	4649	18831
198	4670	18798
199	4693	18773
200	4716	18747
201	4738	18720
202	4763	18700
203	4783	18666
204	4806	18640
205	4832	18624
206	4854	18597
207	4874	18559
208	4896	18533
209	4918	18501
210	4946	18495
211	4967	18462
212	4989	18436
213	5012	18411
214	5036	18390
215	5058	18360
216	5079	18329
217	5101	18300
218	5123	18270
219	5147	18249
220	5174	18238
221	5195	18207
222	5217	18179
223	5242	18160
224	5263	18129
225	5284	18098
226	5306	18071
227	5328	18042
228	5349	18012
229	5375	17994
230	5396	17965
231	5418	17937
232	5439	17906
233	5461	17877
234	5482	17848
235	5506	17826
236	5545	17853
237	5578	17861
238	5604	17844
239	5628	17823
240	5652	17802
241	5677	17783
242	5700	17758
243	5724	17735
244	5745	17705
245	5766	17675
246	5789	17650
247	5812	17623
248	5833	17592
249	5855	17566
250	5876	17536
251	5898	17508
252	5920	17480
253	5942	17452
254	5963	17422
255	5985	17396
256	6007	17369
257	6031	17347
258	6054	17321
259	6076	17295
260	6099	17269
261	6123	17248
262	6145	17222
263	6169	17200
264	6191	17172
265	6213	17145
266	6236	17121
267	6258	17093
268	6280	17065
269	6303	17041
270	6325	17015
271	6347	16989
272	6370	16965
273	6393	16939
274	6418	16920
275	6441	16897
276	6462	16869
277	6487	16847
278	6510	16823
279	6532	16798
280	6554	16770
281	6576	16745
282	6601	16724
283	6624	16699
284	6646	16675
285	6670	16652
286	6691	16623
287	6713	16598
288	6736	16572
289	6758	16545
290	6783	16526
291	6805	16499
292	6830	16481
293	6854	16459
294	6876	16433
295	6901	16414
296	6925	16391
297	6946	16363
298	6968	16338
299	6991	16312
300	7011	16281
301	7032	16253
302	7053	16225
303	7074	16197
304	7097	16173
305	7118	16145
306	7141	16120
307	7164	16096
308	7185	16069
309	7207	16042
310	7231	16020
311	7252	15993
312	7274	15966
313	7296	15940
314	7317	15913
315	7338	15885
316	7361	15861
317	7384	15836
318	7405	15808
319	7427	15783
320	7449	15758
321	7471	15732
322	7494	15707
323	7515	15680
324	7537	15653
325	7558	15627
326	7579	15600
327	7600	15570
328	7621	15543
329	7645	15523
330	7666	15495
331	7687	15467
332	7709	15442
333	7731	15416
334	7752	15389
335	7774	15363
336	7797	15340
337	7820	15316
338	7844	15295
339	7864	15266
340	7886	15240
341	7909	15217
342	7930	15190
343	7951	15164
344	7972	15137
345	7994	15111
346	8015	15083
347	8038	15060
348	8062	15039
349	8086	15018
350	8115	15005
351	8136	14978
352	8158	14952
353	8180	14928
354	8203	14904
355	8226	14882
356	8248	14856
357	8268	14827
358	8291	14805
359	8313	14780
360	8336	14756
361	8359	14733
362	8381	14708
363	8403	14682
364	8426	14659
365	8448	14634
366	8470	14609
367	8493	14586
368	8515	14562
369	8536	14535
370	8558	14510
371	8579	14483
372	8600	14457
373	8621	14430
374	8646	14410
375	8666	14383
376	8688	14357
377	8711	14334
378	8733	14310
379	8755	14285
380	8777	14260
381	8798	14234
382	8819	14208
383	8841	14183
384	8866	14163
385	8887	14136
386	8908	14110
387	8930	14086
388	8953	14063
389	8975	14039
390	8998	14015
391	9020	13991
392	9044	13970
393	9066	13944
394	9089	13921
395	9112	13898
396	9134	13875
397	9157	13851
398	9178	13825
399	9201	13801
400	9223	13778
401	9245	13753
402	9268	13730
403	9289	13703
404	9309	13676
405	9332	13654
406	9358	13635
407	9380	13611
408	9403	13587
409	9425	13563
410	9446	13537
411	9468	13514
412	9492	13491
413	9514	13466
414	9537	13444
415	9558	13418
416	9581	13396
417	9604	13373
418	9626	13348
419	9646	13321
420	9670	13300
421	9694	13277
422	9715	13253
423	9737	13227
424	9758	13203
425	9781	13179
426	9804	13157
427	9827	13134
428	9853	13115
429	9876	13091
430	9899	13069
431	9924	13048
432	9946	13024
433	9967	12999
434	9989	12974
435	10013	12952
436	10036	12930
437	10057	12905
438	10081	12882
439	10105	12861
440	10127	12836
441	10149	12813
442	10172	12790
443	10195	12767
444	10221	12748
445	10243	12724
446	10269	12705
447	10292	12681
448	10313	12656
449	10338	12635
450	10360	12612
451	10384	12590
452	10407	12567
453	10429	12543
454	10454	12522
455	10479	12501
456	10509	12486
457	10539	12472
458	10567	12455
459	10593	12435
460	10679	12486
461	10722	12485
462	10761	12481
463	10787	12461
464	10811	12438
465	10836	12417
466	10860	12395
467	10894	12384
468	10921	12365
469	10945	12342
470	10969	12320
471	10993	12298
472	11018	12276
473	11041	12252
474	11065	12230
475	11090	12208
476	11115	12187
477	11139	12164
478	11165	12143
479	11191	12124
480	11218	12104
481	11245	12085
482	11269	12062
483	11294	12040
484	11318	12018
485	11341	11995
486	11365	11972
487	11389	11949
488	11418	11932
489	11441	11908
490	11464	11885
491	11489	11863
492	11515	11842
493	11540	11820
494	11564	11798
495	11588	11775
496	11613	11753
497	11639	11733
498	11663	11710
499	11688	11688
500	11713	11667
501	11738	11644
502	11760	11620
503	11784	11596
504	11807	11573
505	11833	11552
506	11855	11527
507	11877	11503
508	11905	11484
509	11932	11464
510	11955	11440
511	11979	11417
512	12001	11392
513	12024	11369
514	12048	11346
515	12070	11322
516	12095	11299
517	12117	11275
518	12140	11251
519	12163	11228
520	12187	11204
521	12213	11184
522	12238	11162
523	12262	11139
524	12286	11116
525	12317	11100
526	12340	11076
527	12366	11054
528	12389	11030
529	12414	11008
530	12439	10986
531	12468	10968
532	12495	10948
533	12520	10925
534	12544	10903
535	12568	10880
536	12593	10858
537	12615	10833
538	12639	10810
539	12664	10788
540	12687	10764
541	12713	10742
542	12735	10718
543	12759	10695
544	12783	10672
545	12804	10646
546	12832	10626
547	12853	10601
548	12877	10578
549	12903	10557
550	12928	10535
551	12952	10511
552	12982	10493
553	13005	10470
554	13027	10445
555	13053	10424
556	13077	10400
557	13101	10378
558	13126	10355
559	13150	10332
560	13178	10312
561	13200	10287
562	13222	10263
563	13247	10240
564	13269	10216
565	13297	10196
566	13322	10174
567	13346	10151
568	13369	10127
569	13397	10106
570	13424	10086
571	13448	10063
572	13475	10041
573	13504	10022
574	13530	10000
575	13557	9979
576	13591	9964
577	13617	9942
578	13648	9924
579	13678	9905
580	13707	9885
581	13731	9862
582	13755	9838
583	13779	9815
584	13808	9795
585	13835	9774
586	13865	9755
587	13891	9733
588	13915	9710
589	13944	9690
590	13967	9666
591	13997	9647
592	14024	9625
593	14049	9602
594	14077	9582
595	14101	9558
596	14127	9536
597	14151	9513
598	14177	9490
599	14200	9467
600	14226	9444
601	14258	9426
602	14284	9404
603	14310	9382
604	14333	9358
605	14361	9337
606	14391	9317
607	14416	9294
608	14443	9273
609	14469	9250
610	14494	9227
611	14518	9204
612	14543	9181
613	14567	9158
614	14592	9135
615	14616	9111
616	14640	9087
617	14663	9063
618	14689	9041
619	14711	9016
